ĐẶC TẢ TÍNH NĂNG — AIRGUARD AI,,,,,,,,,,
FT-09,Admin,Quản trị cấu hình hệ thống,"Admin quản lý station, threshold, trạng thái sensor, rule config ở mức MVP nếu mentor yêu cầu. Nếu scope hẹp thì deferred.",Admin,Config/Admin Service; Agent chỉ đọc config qua tool nếu cần,"Admin API, station config, thresholds",Chưa có UI,Could,Chốt với mentor: MVP có bắt buộc Admin hay chỉ User + Manager.,
FT-10,Data/IoT,Sensor Simulator qua MQTT,"Mô phỏng 5 station gửi PM2.5 theo base value từng vị trí, giờ cao điểm, thời tiết/scenario và noise nhỏ. Không random hoàn toàn.",System,Sensor Data Agent đọc lại dữ liệu đã được backend lưu,MQTT topic airguard/measurements; payload JSON,Đã chốt hướng,Must,"5/5 sensor gửi dữ liệu; có scenario normal, high_pm25, sudden_spike, offline, stale, invalid.",
FT-11,Data Quality,Validation dữ liệu sensor,"Backend kiểm tra pm25 hợp lệ, station_id hợp lệ, timestamp, quality_flag, stale/offline trước khi lưu/dùng cho alert/Agent.","Backend, Agent",Guardrails của Sensor Data Agent,"measurement schema, quality_flag",Đang làm,Must,Invalid data bị reject/đánh dấu; Agent không dùng stale/invalid/offline để kết luận hiện tại.,
FT-12,Trace/Audit,Agent trace và audit log,"Lưu lại user_message, intent, selected tools, tool input/output summary, final answer, timestamp; audit manager decisions.","Team, Mentor, Manager",Trace/Audit Agent; tool: save_agent_trace,"agent_traces, audit_logs hoặc file local giai đoạn đầu",Đã có hướng,Should,100% lượt hỏi quan trọng có trace; không lưu API key/token/secret.,
QUY ƯỚC NGHIỆM THU MVP,,,,,,,,,,
Metric,Mục tiêu,Cách kiểm tra,,,,,,,,
Agent Intent Accuracy,≥ 80%,"Test 10 câu hỏi mẫu, đối chiếu intent mong muốn.",,,,,,,,
Tool Selection Accuracy,≥ 80%,Kiểm tra Agent chọn đúng tool cho từng intent.,,,,,,,,
Hallucination Rate,0%,"Agent không được tự bịa PM2.5, timestamp, station, alert.",,,,,,,,
Evidence Coverage,≥ 90%,Câu trả lời quan trọng có pm25/station/timestamp/source.,,,,,,,,
Dashboard Coverage,5/5 station,Frontend hiển thị đủ 5 marker và không crash.,,,,,,,,
HITL Completion,100% demo flow,Agent tạo pending proposal; Manager approve/reject; có audit log.,,,,,,,,
